State  Recv-Q Send-Q Local Address:Port  Peer Address:PortProcess
UNCONN 0      0      127.0.0.53%lo:53         0.0.0.0:*          
UNCONN 0      0                  *:33785            *:*          
UNCONN 0      0                  *:55309            *:*          
UNCONN 0      0                  *:35859            *:*          
UNCONN 0      0                  *:60440            *:*          
UNCONN 0      0                  *:42028            *:*          
UNCONN 0      0                  *:57394            *:*          
UNCONN 0      0                  *:32833            *:*          
UNCONN 0      0                  *:57417            *:*          
UNCONN 0      0                  *:53341            *:*          
UNCONN 0      0                  *:34910            *:*          
UNCONN 0      0                  *:49247            *:*          
UNCONN 0      0                  *:36961            *:*          
UNCONN 0      0                  *:48235            *:*          
UNCONN 0      0                  *:55406            *:*          
UNCONN 0      0                  *:42098            *:*          
UNCONN 0      0                  *:41090            *:*          
UNCONN 0      0                  *:57476            *:*          
UNCONN 0      0                  *:54405            *:*          
UNCONN 0      0                  *:56454            *:*          
UNCONN 0      0                  *:56456            *:*          
UNCONN 0      0                  *:33928            *:*          
UNCONN 0      0                  *:58504            *:*          
UNCONN 0      0                  *:35982            *:*          
UNCONN 0      0                  *:32925            *:*          
UNCONN 0      0                  *:52382            *:*          
UNCONN 0      0                  *:53408            *:*          
UNCONN 0      0                  *:38091            *:*          
UNCONN 0      0                  *:57549            *:*          
UNCONN 0      0                  *:42193            *:*          
UNCONN 0      0                  *:43220            *:*          
UNCONN 0      0                  *:41176            *:*          
UNCONN 0      0                  *:52447            *:*          
UNCONN 0      0                  *:57572            *:*          
UNCONN 0      0                  *:37098            *:*          
UNCONN 0      0                  *:36100            *:*          
UNCONN 0      0                  *:33034            *:*          
UNCONN 0      0                  *:47379            *:*          
UNCONN 0      0                  *:34068            *:*          
UNCONN 0      0                  *:36121            *:*          
UNCONN 0      0                  *:48415            *:*          
UNCONN 0      0                  *:41261            *:*          
UNCONN 0      0                  *:51505            *:*          
UNCONN 0      0                  *:37169            *:*          
UNCONN 0      0                  *:57671            *:*          
UNCONN 0      0                  *:40263            *:*          
UNCONN 0      0                  *:50511            *:*          
UNCONN 0      0                  *:54608            *:*          
UNCONN 0      0                  *:37209            *:*          
UNCONN 0      0                  *:45402            *:*          
UNCONN 0      0                  *:42332            *:*          
UNCONN 0      0                  *:52578            *:*          
UNCONN 0      0                  *:47463            *:*          
UNCONN 0      0                  *:45418            *:*          
UNCONN 0      0                  *:40326            *:*          
UNCONN 0      0                  *:35219            *:*          
UNCONN 0      0                  *:33175            *:*          
UNCONN 0      0                  *:33179            *:*          
UNCONN 0      0                  *:54697            *:*          
UNCONN 0      0                  *:36265            *:*          
UNCONN 0      0                  *:37294            *:*          
UNCONN 0      0                  *:51643            *:*          
UNCONN 0      0                  *:35272            *:*          
UNCONN 0      0                  *:36304            *:*          
UNCONN 0      0                  *:34257            *:*          
UNCONN 0      0                  *:60882            *:*          
